ds;y
2018-04-10;1699
2018-04-11;1898
2018-04-12;2041
2018-04-13;1792
2018-04-14;2
2018-04-15;0
2018-04-16;1673
2018-04-17;1718
2018-04-18;1944
2018-04-19;2167
2018-04-20;1711
2018-04-21;9
2018-04-22;0
2018-04-23;1822
2018-04-24;2083
2018-04-25;2548
2018-04-26;2924
2018-04-27;2863
2018-04-28;29
2018-04-29;0
2018-04-30;2193
2018-05-01;0
2018-05-02;842
2018-05-03;0
2018-05-04;769
2018-05-05;0
2018-05-06;0
2018-05-07;1325
2018-05-08;1664
2018-05-09;1683
2018-05-10;1953
2018-05-11;1641
2018-05-12;3
2018-05-13;0
2018-05-14;1681
2018-05-15;1908
2018-05-16;1844
2018-05-17;1956
2018-05-18;1654
2018-05-19;2
2018-05-20;0
2018-05-21;1797
2018-05-22;1963
2018-05-23;2005
2018-05-24;2311
2018-05-25;2012
2018-05-26;4
2018-05-27;1
2018-05-28;2333
2018-05-29;3071
2018-05-30;3140
2018-05-31;0
2018-06-01;896
2018-06-02;3
2018-06-03;0
2018-06-04;1314
2018-06-05;1634
2018-06-06;1738
2018-06-07;1975
2018-06-08;1630
2018-06-09;23
2018-06-10;0
2018-06-11;1577
2018-06-12;1017
2018-06-13;1992
2018-06-14;1943
2018-06-15;1768
2018-06-16;7
2018-06-17;0
2018-06-18;1750
2018-06-19;2020
2018-06-20;2006
2018-06-21;2353
2018-06-22;1805
2018-06-23;4
2018-06-24;0
2018-06-25;1875
2018-06-26;2288
2018-06-27;2838
2018-06-28;3117
2018-06-29;3058
2018-06-30;36
2018-07-01;0
2018-07-02;1483
2018-07-03;1804
2018-07-04;1709
2018-07-05;1857
2018-07-06;1636
2018-07-07;5
2018-07-08;0
2018-07-09;1559
2018-07-10;1705
2018-07-11;1863
2018-07-12;1829
2018-07-13;1640
2018-07-14;3
2018-07-15;0
2018-07-16;1738
2018-07-17;1957
2018-07-18;1910
2018-07-19;2049
2018-07-20;1935
2018-07-21;35
2018-07-22;0
2018-07-23;1741
2018-07-24;1968
2018-07-25;1949
2018-07-26;2478
2018-07-27;2166
2018-07-28;24
2018-07-29;0
2018-07-30;2476
2018-07-31;2628
2018-08-01;1763
2018-08-02;1758
2018-08-03;1482
2018-08-04;8
2018-08-05;0
2018-08-06;1558
2018-08-07;1886
2018-08-08;2129
2018-08-09;2479
2018-08-10;2279
2018-08-11;135
2018-08-12;0
2018-08-13;2170
2018-08-14;2391
2018-08-15;0
2018-08-16;2594
2018-08-17;2058
2018-08-18;115
2018-08-19;0
2018-08-20;2321
2018-08-21;2838
2018-08-22;3029
2018-08-23;3009
2018-08-24;2624
2018-08-25;117
2018-08-26;0
2018-08-27;2652
2018-08-28;2979
2018-08-29;2839
2018-08-30;2751
2018-08-31;1916
2018-09-01;3
2018-09-02;0
2018-09-03;380
2018-09-04;531
2018-09-05;587
2018-09-06;813
2018-09-07;866
2018-09-08;3
2018-09-09;0
2018-09-10;858
2018-09-11;980
2018-09-12;1057
2018-09-13;1189
2018-09-14;1112
2018-09-15;3
2018-09-16;0
2018-09-17;1114
2018-09-18;1263
2018-09-19;1351
2018-09-20;1462
2018-09-21;1217
2018-09-22;5
2018-09-23;0
2018-09-24;1188
2018-09-25;1551
2018-09-26;2019
2018-09-27;2396
2018-09-28;2303
2018-09-29;7
2018-09-30;0
2018-10-01;1141
2018-10-02;1167
2018-10-03;1192
2018-10-04;1428
2018-10-05;1238
2018-10-06;2
2018-10-07;0
2018-10-08;1165
2018-10-09;1187
2018-10-10;1406
2018-10-11;1504
2018-10-12;1271
2018-10-13;3
2018-10-14;0
2018-10-15;1307
2018-10-16;1408
2018-10-17;1569
2018-10-18;1727
2018-10-19;1455
2018-10-20;3
2018-10-21;0
2018-10-22;1335
2018-10-23;1567
2018-10-24;1713
2018-10-25;1878
2018-10-26;1795
2018-10-27;6
2018-10-28;0
2018-10-29;1974
2018-10-30;2362
2018-10-31;2513
2018-11-01;0
2018-11-02;888
2018-11-03;3
2018-11-04;0
2018-11-05;1356
2018-11-06;1485
2018-11-07;1549
2018-11-08;1814
2018-11-09;1590
2018-11-10;6
2018-11-11;0
2018-11-12;0
2018-11-13;1498
2018-11-14;1746
2018-11-15;1881
2018-11-16;1802
2018-11-17;5
2018-11-18;0
2018-11-19;1783
2018-11-20;1867
2018-11-21;1990
2018-11-22;2158
2018-11-23;1932
2018-11-24;3
2018-11-25;0
2018-11-26;2041
2018-11-27;2158
2018-11-28;2525
2018-11-29;3023
2018-11-30;2658
2018-12-01;6
2018-12-02;0
2018-12-03;1679
2018-12-04;1797
2018-12-05;2142
2018-12-06;2068
2018-12-07;1907
2018-12-08;16
2018-12-09;0
2018-12-10;2102
2018-12-11;2150
2018-12-12;2232
2018-12-13;2478
2018-12-14;2329
2018-12-15;23
2018-12-16;0
2018-12-17;2448
2018-12-18;2684
2018-12-19;2949
